track,start,end,event,channel,note,velocity,name
1,0,0,Note_on,1,60,63,C4
1,1,1,Note_on,1,60,63,C4
1,1,2,Note_on,1,65,63,F4
1,2,2,Note_on,1,67,63,G4
1,2,3,Note_on,1,67,63,G4
1,3,4,Note_on,1,69,63,A4
1,4,4,Note_on,1,69,63,A4
1,5,6,Note_on,1,67,63,G4
1,6,7,Note_on,1,65,63,F4
1,7,7,Note_on,1,65,63,F4
1,8,8,Note_on,1,64,63,E4
1,9,9,Note_on,1,64,63,E4
1,9,10,Note_on,1,62,63,D4
1,10,11,Note_on,1,62,63,D4
1,11,12,Note_on,1,60,63,C4
1,13,13,Note_on,1,67,63,G4
1,13,14,Note_on,1,67,63,G4
1,14,15,Note_on,1,65,63,F4
1,15,15,Note_on,1,65,63,F4
1,16,16,Note_on,1,64,63,E4
1,17,17,Note_on,1,64,63,E4
1,17,18,Note_on,1,62,63,D4
1,19,19,Note_on,1,65,63,F4
1,19,20,Note_on,1,67,63,G4
1,20,20,Note_on,1,67,63,G4
1,21,21,Note_on,1,65,63,F4
1,21,21,Note_on,1,65,63,F4
1,21,22,Note_on,1,65,63,F4
1,22,23,Note_on,1,64,63,E4
1,23,24,Note_on,1,64,63,E4
1,24,25,Note_on,1,62,63,D4
1,26,26,Note_on,1,60,63,C4
1,26,27,Note_on,1,60,63,C4
1,27,28,Note_on,1,65,63,F4
1,28,28,Note_on,1,67,63,G4
1,28,29,Note_on,1,67,63,G4
1,29,29,Note_on,1,69,63,A4
1,30,30,Note_on,1,69,63,A4
1,31,32,Note_on,1,67,63,G4
1,32,33,Note_on,1,65,63,F4
1,33,33,Note_on,1,65,63,F4
1,34,34,Note_on,1,64,63,E4
1,35,35,Note_on,1,64,63,E4
1,35,36,Note_on,1,62,63,D4
1,36,37,Note_on,1,62,63,D4
1,37,38,Note_on,1,60,63,C4
